classes_id,subject_id,subject_name,class_name,classes_id_validator
1,1,AMST-American Studies,201-Intro to American Studies,1
2,2,ANTH-Anthropology,101-Intro Cultural & Social Anthro,2
3,2,ANTH-Anthropology,316-Political Anthropology,3
4,2,ANTH-Anthropology,321-Anthropology of Food,4
5,2,ANTH-Anthropology,342-Touring Cultures,5
6,2,ANTH-Anthropology,344-Urban Theory & Ethnography,6
7,2,ANTH-Anthropology,350-Amazonian Societies,7
8,2,ANTH-Anthropology,371UU-Immigration in Global Perspect,8
9,2,ANTH-Anthropology,481-Senior Thesis,9
10,3,ARAB-Arabic,102-Beginning Arabic II,10
11,3,ARAB-Arabic,202-Intermediate Arabic II,11
12,3,ARAB-Arabic,302-Advanced Arabic,12
13,4,ARTH-Art History,114A-History of Western Art I,13
14,4,ARTH-Art History,115A-History of Western Art II,14
15,4,ARTH-Art History,118-History of Asian Art,15
16,4,ARTH-Art History,224-Arts of Japan and Korea,16
17,4,ARTH-Art History,303-Methods of Art History,17
18,4,ARTH-Art History,305-Egypt & Near East Art & Archae,18
19,4,ARTH-Art History,317-Laboratory in Museum Studies,19
20,4,ARTH-Art History,326-Romanesque & Gothic Art,20
21,4,ARTH-Art History,351A-Post Impress to Abstr Express,21
22,4,ARTH-Art History,357-Contemporary Asian Art,22
23,4,ARTH-Art History,470A6-Art Hist & Disability Studies,23
24,5,ARTS-Art,104-Digital Approaches to Fine Art,24
25,5,ARTS-Art,105-Design Principles,25
26,5,ARTS-Art,120-Drawing I,26
27,5,ARTS-Art,219-Digital Video Production,27
28,5,ARTS-Art,223-Ceramics I,28
29,5,ARTS-Art,231A-Sculpture I,29
30,5,ARTS-Art,241A-Photography I,30
31,5,ARTS-Art,281FF-Special Topics: The Ukelele,31
32,5,ARTS-Art,281GG-Spec Topics: In the Darkroom,32
33,5,ARTS-Art,311A-Ceramics II,33
34,5,ARTS-Art,331B-Sculpture II,34
35,5,ARTS-Art,342-Painting II,35
36,5,ARTS-Art,454-Approaches to Video Art,36
37,5,ARTS-Art,475-Senior Thesis Seminar,37
38,6,BIOL-Biology,126-Phage Hunters II w/lab,38
39,6,BIOL-Biology,127-Human Biology,39
40,6,BIOL-Biology,203-Science in Perspective,40
41,6,BIOL-Biology,210-Intro to Ecology and Evolution,41
42,6,BIOL-Biology,251-History of Biology,42
43,6,BIOL-Biology,260-The Research Process,43
44,6,BIOL-Biology,342-Nutrition and Metabolism,44
45,6,BIOL-Biology,442-Evolution,45
46,7,CHEM-Chemistry,107-Societal Chemistry,46
47,7,CHEM-Chemistry,318-Biochemistry II,47
48,7,CHEM-Chemistry,331-Environmental Chem,48
49,7,CHEM-Chemistry,343-Inorganic Chem,49
50,7,CHEM-Chemistry,384A-Physical Chem II,50
51,7,CHEM-Chemistry,471H-Top: Bioanalytical Chemistry,51
52,8,CHIN-Chinese,102-Beginning Chinese II,52
53,8,CHIN-Chinese,202-Intermediate Chinese II,53
54,8,CHIN-Chinese,300C-Lang & Culture through Media,54
55,9,CLAS-Classics,103-Ideas & Culture:Greek Civ,55
56,9,CLAS-Classics,105-Ideas & Culture:Roman Civ,56
57,9,CLAS-Classics,110-Grk &Roman Mythology Art & Lit,57
58,9,CLAS-Classics,202C-Ancient Tragedy,58
59,9,CLAS-Classics,305-Egypt & Near East Art & Archae,59
60,10,COMM-Communication,205-Public Speaking,60
61,10,COMM-Communication,206-Small Group Communication,61
62,10,COMM-Communication,341-Communication Research Methods,62
63,10,COMM-Communication,370U-Sports & The Digital,63
64,10,COMM-Communication,460-Seminar in Digital Rhetoric,64
65,11,CPRD-Contemplative Practice,104-Meditation Contemplative Pract,65
66,11,CPRD-Contemplative Practice,304-Contemplative Practice II,66
67,12,CPSC-Computer Science,110-Intro to Computer Science,67
68,12,CPSC-Computer Science,219-Foundations for Data Science,68
69,12,CPSC-Computer Science,302-Computer Ethics,69
70,12,CPSC-Computer Science,370DD-Artificial Neural Systems,70
71,12,CPSC-Computer Science,414-Network Principles & Applicatn,71
72,12,CPSC-Computer Science,448-Advanced Web Development,72
73,13,DATA-Data Analytics,219-Foundations for Data Science,73
74,13,DATA-Data Analytics,370DD-Artificial Neural Systems,74
75,14,DGST-Digital Studies,101-Intro to Digital Studies,75
76,14,DGST-Digital Studies,"201-Tinkering, Hacking & Making",76
77,14,DGST-Digital Studies,301C-Digital Media Studio,77
78,14,DGST-Digital Studies,301E-Virtual and Augmented Reality,78
79,14,DGST-Digital Studies,395-Applied digital Studies,79
80,15,ECON-Economics,201B-Princp of Macroeconomics,80
81,15,ECON-Economics,202B-Princp of Microeconomics,81
82,15,ECON-Economics,300-Intro Economic Analysis,82
83,15,ECON-Economics,303-Microeconomics,83
84,15,ECON-Economics,304-Macroeconomics,84
85,15,ECON-Economics,331A-Environmental Resource Econ,85
86,15,ECON-Economics,351C-Poverty/ Affluence & Equality,86
87,15,ECON-Economics,352-Labor Economics,87
88,15,ECON-Economics,374-History of Economic Thought,88
89,15,ECON-Economics,382-International Trade,89
90,15,ECON-Economics,384-Economic Development,90
91,15,ECON-Economics,428-Economics Multinational Corps.,91
92,15,ECON-Economics,462-Advanced Economic Analysis,92
93,15,ECON-Economics,488X-The New Macroeconomics,93
94,15,ECON-Economics,490C-How to Change the World,94
95,15,ECON-Economics,490E-Independent Research,95
96,16,EESC-Environmental Studies,210-Oceanography,96
97,16,EESC-Environmental Studies,221-Environmental Geology,97
98,16,EESC-Environmental Studies,307-Environmental Soil Science,98
99,16,EESC-Environmental Studies,330-Environ Regulations Compliance,99
100,16,EESC-Environmental Studies,340-Energy Resources & Technology,100
101,16,EESC-Environmental Studies,421T-Topic: Sustainable Aquaculture,101
102,17,ENGL-English,200-News Journalism,102
103,17,ENGL-English,202B-Writing About The Self,103
104,17,ENGL-English,202D1-Writing about Comedy,104
105,17,ENGL-English,2020-Writing about Writing,105
106,17,ENGL-English,202F1-Writing About Technology,106
107,17,ENGL-English,202G1-Writing About Conspiracy,107
108,17,ENGL-English,202H1-Writing About Fairy Tales,108
109,17,ENGL-English,205-Art of Literature,109
110,17,ENGL-English,206A-Global Issues in Literature,110
111,17,ENGL-English,245-Introduction to Cinema Studies,111
112,17,ENGL-English,"251HH-Folktale, Myth, and Archetype",112
113,17,ENGL-English,251MM-Feminist Science Fiction,113
114,17,ENGL-English,251NN-Lit of Death and Purpose,114
115,17,ENGL-English,295-Meth of Adv Literary Studies,115
116,17,ENGL-English,300-Investigative Journalism,116
117,17,ENGL-English,302A-Intro to Creative Writing,117
118,17,ENGL-English,305A-Creative Writing: Fiction,118
119,17,ENGL-English,310-Courtly Tradition Medieval Lit,119
120,17,ENGL-English,312-Creative Writing:Nonfiction,120
121,17,ENGL-English,314-Literary Journal,121
122,17,ENGL-English,327-Jane Austen,122
123,17,ENGL-English,354-African American Lit post-1900,123
124,17,ENGL-English,357-Southern Literature,124
125,17,ENGL-English,384-Disability and Literature,125
126,17,ENGL-English,"390E-Shakespeare, Race, and Gender",126
127,17,ENGL-English,390F-Sexuality & Origins Modernity,127
128,17,ENGL-English,391B-Sherlock Holmes and Friends,128
129,17,ENGL-English,392A-Great American Novel,129
130,17,ENGL-English,392B-Environmental Literature,130
131,17,ENGL-English,393A-Globalization and Literature,131
132,17,ENGL-English,393B-Black Women Writers,132
133,17,ENGL-English,449S-Woolf and Mansfield,133
134,17,ENGL-English,451B-Reading Lit with Computers,134
135,17,ENGL-English,458-American Long Poems,135
136,17,ENGL-English,470A-Sem:Creative Writing Poetry,136
137,17,ENGL-English,470C-Creat Writ Sem:Non Fiction,137
138,18,FREN-French,101-Beginning French I,138
139,18,FREN-French,102-Beginning French II,139
140,18,FREN-French,201A-Intermediate French I,140
141,18,FREN-French,202A-Intermediate French II,141
142,18,FREN-French,312-Oral Communication & Phonetics,142
143,18,FREN-French,326-Intro to Pre-Revolutionary Lit,143
144,18,FREN-French,411-Stylistics,144
145,18,FREN-French,481A-Senior Seminar,145
146,19,FSEM-Fiscal Fitness,100P1-Life Auditing: Fiscal Fitness,146
147,20,GEOG-Geography,101-World Regional Geography,147
148,20,GEOG-Geography,102-Intro to Human Geography,148
149,20,GEOG-Geography,200D-Geographic Thinking,149
150,20,GEOG-Geography,222A-Geog of Westn N America,150
151,20,GEOG-Geography,237-Cities,151
152,20,GEOG-Geography,240-Natural Hazards,152
153,20,GEOG-Geography,304A-Geography of the Middle East,153
154,20,GEOG-Geography,325-Dynamic Climatology,154
155,20,GEOG-Geography,331-Race & Place in America,155
156,20,GEOG-Geography,338-Geopolitics,156
157,20,GEOG-Geography,360E-Grassroots Dev in Guatemala,157
158,21,GERM-German,102-Beginning German II,158
159,21,GERM-German,202A-Intermediate German II,159
160,22,GREK-Greek,102-Elementary Greek,160
161,22,GREK-Greek,202-Intermediate Greek,161
162,23,HISP-Historic Preservation,100-Intro to Historic Preservation,162
163,23,HISP-Historic Preservation,105-The American Built Environment,163
164,23,HISP-Historic Preservation,205-Documentation and Field Work,164
165,23,HISP-Historic Preservation,207-American Archaeology,165
166,23,HISP-Historic Preservation,209-Planning History & Practice,166
167,23,HISP-Historic Preservation,305A-Historic Building Technologies,167
168,23,HISP-Historic Preservation,313-Museum Education,168
169,23,HISP-Historic Preservation,317-Museum Collections Management,169
170,23,HISP-Historic Preservation,320-Material Culture,170
171,23,HISP-Historic Preservation,345-Computer Applications in HISP,171
172,23,HISP-Historic Preservation,463-Lab Museum Design&Interpretatn,172
173,23,HISP-Historic Preservation,469-Lab in Preservation Planning,173
174,23,HISP-Historic Preservation,471A9-The Preservation Enterprise,174
175,24,HIST-History,121-Western Civ I,175
176,24,HIST-History,122-Western Civ II,176
177,24,HIST-History,131-American History to 1865,177
178,24,HIST-History,132-Am Hist Since 1865,178
179,24,HIST-History,142-Asian Civilaztn II,179
180,24,HIST-History,190-Gr Lives:Biog Approach to Hist,180
181,24,HIST-History,297-History Colloquium,181
182,24,HIST-History,298-History Practicum,182
183,24,HIST-History,300B7-The Atlantic World,183
184,24,HIST-History,300ZZ-Intro to Public History,184
185,24,HIST-History,305-The American West,185
186,24,HIST-History,308-US Labor History,186
187,24,HIST-History,314-Afr-Amer History Since Slavery,187
188,24,HIST-History,322-US Environmental History,188
189,24,HIST-History,338-From Mongols to Ottomans,189
190,24,HIST-History,339-Modern Middle East History,190
191,24,HIST-History,354-History of France,191
