subject_id,subject
1,AMST-American Studies
2,ANTH-Anthropology
3,ARAB-Arabic
4,ARTH-Art History
5,ARTS-Art
6,BIOL-Biology
7,CHEM-Chemistry
8,CHIN-Chinese
9,CLAS-Classics
10,COMM-Communication
11,CPRD-Contemplative Practice
12,CPSC-Computer Science
13,DATA-Data Analytics
14,DGST-Digital Studies
15,ECON-Economics
16,EESC-Environmental Studies
17,ENGL-English
18,FREN-French
19,FSEM-Fiscal Fitness
20,GEOG-Geography
21,GERM-Geography
22,GREK-Geography
23,HISP-Historic Preservation
24,HIST-History
25,IDIS-Sports Management
26,ITAL-Italian
27,LATN-Latin
28,LING-Linguistics
29,MATH-Mathematics
30,MUHL-Music History
31,MUPR-Music Appreciation
32,MUSC-Music
33,MUTC-Music Technology
34,MUTH-Music Theory
35,PHIL-Philsophy
36,PHYS-Physical Education
37,PSCI-Political Science
38,PSYC-Psychology
39,RELG-Religion
40,SOCG-Sociology
41,SPAN-Spanish
42,STAT-Statistics
43,THEA-Theater
44,WGST-Women and Gender Studies
